layer,neuron,score,explanation
2,1343,0.163352692,technical terms and measurements related to various objects and processes.
3,1132,0.061083706,words related to numbers and processes in various industries.
3,427,0.477181197," phrases associated with subscribing, following, and engaging with digital content."
3,1646,0.540821091,"words containing the letters ""ook""."
3,130,0.554232463,words related to confidence and unity.
3,263,0.715127511, words related to separation and isolation.
3,458,0.196788186, abbreviations and shortened forms of words or names.
3,966,-0.023204095, words indicating an exceptional or unique occurrence or quality.
3,661,-0.020479728,words and phrases related to actions and events.
3,1358,0.455880736, numerical values and related concepts.
3,411,0.127626166, nouns associated with specific subjects and series.
3,1063,0.185677457,words related to legal issues and violations.
3,651,0.289407526,words and phrases related to geographical features and locations.
3,848,0.097809785,chemical compounds or substances.
3,733,0.085477361,parts of words or letters commonly found in scores or rankings.
3,914,0.464098789, words related to materials or textures.
3,517,-0.006555939, specific actions and non-English characters.
3,1214,0.114875261, numerical values and items related to layers or amounts.
3,119,0.03357487,"words and phrases related to sports, teams, and competitions."
3,1177,0.018439703,words related to people facing challenges or disadvantages.
3,530,0.563977116," phrases related to expertise, knowledge, and professional abilities."
4,12,0.116790574, words and phrases related to law enforcement and legal situations.
4,525,0.432319051, technology and scientific terms.
4,1380,0.116412673," informal or slang terms, especially related to feelings or relationships."
4,21,0.128865609,occurrences of words related to oil or liquid substances.
4,1793,0.354365501," words related to fire, emergencies, and their effects."
4,186,0.093780365," words and phrases related to numbers, percentages, and quantitative measurements."
4,1230,0.051976923, proper nouns and specific terms related to locations or organizations.
4,52,0.383087619,specific financial or numerical terminology related to policies and benefits.
4,1284,0.379319163,words related to organizations and institutions.
4,1219,0.202881792," parts of speech and language structure elements, such as nouns, verbs, and numbers."
4,1246,0.014839462, words and phrases related to obligations and responsibilities.
4,477,0.110074106,words related to code documentation and contribution.
4,1607,0.624153187, words related to equality or balance.
4,38,0.065182342," words related to measurements, rankings, or comparisons."
4,621,0.021693486, specific terms related to academic studies or research.
4,1000,0.036217917, words related to action and activity.
4,437,0.603902008,words related to coaching and playing roles.
4,1905,0.756131318, words and phrases related to intellectual thought and ideas.
4,174,0.091588981, numerical values and related units.
4,1726,0.424070113, adjectives that describe qualities or characteristics.
5,337,0.914505871,words related to military veterans.
5,1438,0.087883129, words or parts of words with consecutive letters having close or similar pronunciation.
5,1587,0.265421964,specific terminology and information related to various subject areas.
5,874,0.051398901,specific descriptive terms and related measurements.
5,63,0.271205045, parts of compound words that end with two-letter combinations.
5,212,0.165102124," numerical values and percentages, usually associated with game mechanics or character statistics."
5,799,0.299903116, technical terms and abbreviations.
5,1223,-0.010722178, words and phrases related to numbers and quantities.
5,1808,0.547069426," words related to editing, manuals, and online communities."
5,1174,0.176888033,unique and specific nouns or noun phrases.
5,801,0.277819039, proper nouns and terms related to technology or digital subjects.
5,462,0.055724664, noun phrases that indicate a quantity or an amount.
5,1389,0.193033262, unusual proper nouns or language-specific letter combinations.
5,385,0.867541685,"occurrences of the word ""luck"" and related phrases."
5,293,0.014451709, words related to processes or linear movement.
5,1144,0.256344698," specific names and titles related to people, positions, and locations."
5,1735,-0.037695979,numbers and words indicating importance or ranking.
5,398,0.121201472, words indicating a specific date or instance.
5,153,0.183926643," endings of words or partial words, especially focusing on the last letters."
5,388,0.070044068, words related to specific occurrences or events.
6,1096,0.337787075,characters and symbols related to online text formatting and code.
6,239,0.055407175, numerical values or abbreviations related to technology and document identification.
6,670,0.412456009, words and phrases related to unexpected or negative situations.
6,1020,0.053033361, specific numerical values and associated terms.
6,1689,0.564988341," words or phrases related to emphasis, quantities, and exaggeration."
6,844,0.442394996,locations and place names.
6,1779,0.287577979, words and phrases related to connections and linking.
6,1896,0.022866418,words and phrases related to tickets and their associated events or prices.
6,322,0.056714865, words and phrases related to closure or blockage.
6,998,0.168373821, words or word parts related to specialized fields or industries.
6,565,0.266352377,parts of words that relate to groups or organizations.
6,809,0.050600921," words related to physical strength, performance, or conditions."
6,1434,0.19240071,"specific nouns and related words in various fields, such as astronomy, watches, and political situations."
6,190,0.067733084,words and phrases related to locations and events.
6,100,0.37837, words related to redirection and exclusion.
6,1163,0.021701034, nouns and noun phrases in the middle of sentences.
6,1301,0.10951623, phrases related to political stances and activism.
6,29,0.014958072, connecting words and phrases that indicate relationships or transitions between ideas.
6,1881,0.148578842,technical and mathematical terms.
6,1395,0.552538114,occurrences of names or titles that start with 'Ts' or contain 'ts'.
7,574,0.312555427, parts of words or syllables with an emphasis on three-letter combinations with 'r' and 'm' or 'n'.
7,1785,0.026587908, words related to names or colors.
7,82,0.663045011,words and phrases related to financial transactions and deals in sports.
7,1035,0.258005278, words with 'trans' or 'gr' in them.
7,1054,0.472459033, words related to problems and issues.
7,411,0.009256451," words or word parts related to specific scientific, technical or medical conditions or concepts."
7,1248,-0.014470509, words related to important subjects or items in various contexts.
7,1946,0.22601186,descriptive words and phrases related to materials and texture.
7,1682,0.209023958, titles or roles of individuals within a text.
7,437,0.017891885," specific words related to programming, game elements, and general meaning."
7,1681,0.73923155, words related to installation and fixing.
7,1098,0.351780644,"words or parts of words related to basic, plain, or core structures/elements."
7,1002,0.165280183, words related to construction or planning processes.
7,15,0.392616352,physical appearance and describing features.
7,649,0.157383638, numeric values and their associated modifiers.
7,1400,0.212336993,action verbs indicating sports or physical activities.
7,0,0.326534744, words related to pairs or sequences.
7,1633,0.031058396, compound nouns consisting of two connected words.
7,112,0.287378187," words related to positions or actions, often with a prefix or suffix attached."
7,334,0.235549824,technical or specialized terms and phrases.
8,1007,0.634853835,"words related to origin, inheritance, and the beginning of a process."
8,231,0.202083827, punctuation marks and numbers.
8,1048,0.081181312,"parts of words, particularly word endings."
8,624,0.111910037,"location-related words and numbers or situations that show a change or action, often related to games or geographical locations."
8,670,0.254870575,words related to machines or technical equipment.
8,1242,-0.003159502, numerical values and related words.
8,360,0.299439392, words related to political or governmental entities.
8,1949,0.156649103,editing and related actions in content.
8,669,0.148889857, words related to knowledge and intention.
8,233,0.052303492, words with mixed combinations of letters and numbers or special characters within them.
8,333,0.021236943, technical terms or concepts.
8,928,-0.040548519, specific nouns related to locations or entities.
8,1871,0.382320043,"words and phrases related to strong, forceful actions or impacts."
8,752,0.666257351,verbs indicating a choice or selection.
8,1681,-0.043889483," words and phrases related to quantities, numerical values, and measurements."
8,1832,0.313954575," words associated with assigning or identifying a name, label, or title."
8,530,0.12376415,"words related to features, abilities, or aspects of various objects and concepts."
8,1883,0.203350517," key content words, such as subject-specific terminology and action verbs."
8,16,0.255166646," words related to starting, stopping, and close relationships or connections."
8,1605,0.817102353,words related to transportation or container objects.
9,950,0.165069992, coordinating conjunctions and related patterns in sentences.
9,705,-0.029417941, words and phrases related to specific numbers or counting.
9,1050,0.15058618,"acronyms, abbreviations, or technical terms."
9,1231,0.142347482, sentences that end with a period or words related to end of statements.
9,1353,0.029372482, words related to locations or organization.
9,138,-0.012243653," words related to rankings, measurements, and quantity."
9,1083,0.351994067, noun phrases related to positive or negative outcomes or consequences.
9,927,0.079162417," days and times, and sometimes related words."
9,702,0.006346472," parts of compound words or phrases that refer to a specific keyword, activity, or event."
9,261,-0.024102809, words with high importance or emphasis in their respective contexts.
9,1323,0.46224141," occurrences of ellipsis, along with some words indicating an ongoing action or process."
9,1990,0.018977089, punctuation marks and numbers in the text.
9,518,-0.007557585,measurement-related terms and values.
9,1105,0.49637814, words related to things that are hidden or unusual.
9,1068,0.188972747,"verbs and phrases related to evaluating, measuring, and calculation."
9,1590,0.350607939,colons and words related to defining terms or explanations.
9,863,0.355842912,partial words related to groups or units.
9,400,0.291490922,"words related to extensions, turns, and divisions in various contexts."
9,1258,0.001164538, words and symbols related to list elements or sequential items.
9,1073,0.087070127, combinations of letters with a repeated or connected pattern.
10,1363,-0.01353836, words and phrases associated with negative or problematic situations.
10,1530,0.059034312," uncommon or infrequent words, often related to specific topics or names."
10,467,0.03278934," abbreviations, numerical values, and short letter sequences."
10,1792,0.009004639,partial words or phrases that are part of compound words or hyphenated expressions.
10,976,0.192452493, verbs and related prepositions indicating an action or revealing a fact.
10,870,0.085607771, nouns and adjectives related to specific subjects or fields.
10,1846,0.045827529," words related to specific objects, entities, or locations."
10,399,0.132901874, words and phrases related to positive statements or advantages.
10,1046,0.078867821, words or phrases related to power and influence.
10,1806,0.048808135,words or phrases related to movement or progress.
10,1174,-0.045907297,beginning of sentences and words related to technology or technical concepts.
10,885,0.196823879, symbols or single letters as tokens.
10,1576,0.226779045, verbs and verb phrases related to actions and processes.
10,939,0.016218481, numerical values and technical terms.
10,445,0.610566134,verbs related to exerting force or pressure.
10,11,0.091826301," specific names, titles or terms related to a particular subject."
10,1080,0.210519953,"suffixes of words, particularly focusing on the ending syllables of the words."
10,321,0.087044754, endings of words or compound words with a focus on word parts that change the meaning or tense.
10,1843,0.195620114," numbers, statistics, and related terms."
10,230,0.193740606, words related to important titles or influential locations.
11,342,0.216545481,verbs in the gerund (-ing) form and certain noun endings.
11,24,0.156435326, parts of words and word endings.
11,1644,0.009744954,keywords related to specific objects and positions.
11,205,0.015520115,movement-related phrases and prepositions.
11,1574,0.145003792," parts of words, with a focus on word endings with similar sounds."
11,239,0.017009394, verbs related to giving in or not fully committing to something.
11,1983,0.227989605," emoticons, punctuation, and short character combinations."
11,1169,0.009247745, words and phrases related to achievement and positions in various contexts.
11,750,0.287605009, words related to the central or focal point of a topic or concept.
11,275,0.074723517," single letters or partial word segments, often indicating abbreviations or contractions."
11,1795,0.333552638, noun or adjective suffixes in words.
11,567,-0.006206196, words related to actions or processes.
11,950,0.627359821, phrases related to criticism and negative judgement.
11,1463,0.203119625, words and phrases related to processes and agreements.
11,352,0.05252882," words and phrases indicating the passage of time, dates, or days."
11,762,-0.034770095, words containing the letters 'ck' or 're'.
11,155,0.173060566, words that have a part related to physical location or organization.
11,997,0.133911891,terms related to legal and constitutional processes.
11,1948,0.253349318, words and phrases related to communication or conveying information.
11,1605,0.115657258,"proper nouns, specifically names of people, places, or unique things."
12,923,0.089382479, sequences of numbers and specific technical terms.
12,1219,0.240286005,partial names or parts of names.
12,1954,0.270139715,words with a double 'l' within them.
12,1097,0.230144763," words related to scientific and technical subjects, with a focus on nouns."
12,15,-0.057952801, numerical values and related measurement units.
12,134,0.119019164,abbreviations or partial words related to identification or technical terms.
12,716,0.041701762, words and phrases related to observation and organization.
12,325,0.062256342," names or titles of people, organizations, or numerical indicators."
12,1713,-0.017653513," nouns and adjectives related to numbers, measurements, or percentages."
12,625,0.426264844," words related to coatings, paints, or finishes."
12,968,-0.028987231, words related to processes or procedures.
12,940,0.004738214, keywords related to organizations or institutions.
12,1480,0.337996786, words related to connections or relationships between entities.
12,1174,0.289284797,words related to legal and official documents or processes.
12,1873,0.030967299,words or phrases related to sudden or forceful actions.
12,265,0.286672223, nouns related to information sharing and data processing activities.
12,1786,0.076120234," two-letter syllables or word parts, often occurring in the middle of words."
12,1951,0.00669269, words and phrases associated with a specific focus or subject matter.
12,1790,0.83436633, words related to reaching or targeting something.
12,731,0.709046078,references to written materials or sources of information.
13,525,-0.015802792,words with a common character sequence 'ks' or 'k' followed by 's'.
13,1531,0.315498754," parts of words with the letters ""ol"" and occasional adjacent letters."
13,482,0.037654377,list items and instructions in various contexts.
13,594,0.280823508,words or phrases related to physical actions or contact.
13,1617,-0.031087475, words related to the beginning of actions or processes.
13,237,0.070638491,citation formatting and punctuation in a document.
13,1782,0.000398106, sequences of characters related to numbers or counting.
13,799,0.51911187, phrases related to searching and examining.
13,552,-0.011878766,parts of words or phrases indicating a beginning or initiation.
13,627,0.150515424, words and phrases related to relationships and positions.
13,469,0.316911599,words and phrases related to directions and positions.
13,631,0.395680965,positive attributes and outcomes.
13,386,0.207869656,relationships and connections between two entities.
13,1801,-0.021267565,symbols and words related to increasing or small numbers.
13,924,0.161302194," two-letter combinations, typically related to abbreviations, initials or suffixes."
13,1419,0.02205148,action-related words and phrases.
13,477,0.117823745,"weaknesses, deficiencies, or imperfections."
13,618,0.467950815,"collections, adaptations, and compilations involving books, novels, or series."
13,1422,0.115962979, two-letter combinations in the middle of words.
13,1914,0.080604272, two-letter combinations within words.
14,1161,0.100216041, numeric values or quantities related to a subject or event.
14,862,0.15699274, parts or endings of last names.
14,179,-0.032634058, numerical values and mathematical expressions.
14,1921,0.018033788," words related to positive or negative endings, and transition words."
14,241,0.378951313,words related to lines or linear arrangements.
14,1191,0.125045893, past participles and actions being completed or achieved.
14,259,0.077270698," words with specific endings, such as ""berg"", ""ine"", ""iere"", ""alan"", and ""vol""."
14,1254,0.091726426,words related to quantities and measurements.
14,380,0.053977061," words and expressions related to emotional outbursts, reactions, or facial expressions."
14,286,-0.011062607, specific and strong adjectives or adverbs.
14,125,0.118380241, numbers and related quantifiers or units.
14,1629,0.065523618," phrases indicating negative actions, situations or conditions."
14,47,0.154685396," parts of words, focusing on consecutive letters with specific combinations."
14,1604,0.519212617, abbreviations and partial words related to countries or locations.
14,730,0.227734145,positive evaluations and compliments.
14,777,0.623386111, words and phrases related to auctions and sales.
14,1902,0.026810947,"nouns related to social roles, positions, and influence."
14,173,0.074585603, phrases related to research or investigation.
14,709,0.145043365, various punctuation marks and symbols.
14,79,0.297666634, parts of words and phrases related to specific items or objects.
15,1113,-0.033121739, two-letter combinations often found within words.
15,541,0.083170781, sequences of words related to performance and progress in various contexts.
15,627,0.235301041, specific words related to actions and code.
15,645,0.121342666, elements of web addresses and years.
15,1597,-0.033947953, words and phrases related to counting and numbering.
15,674,0.017037859,words and phrases related to firearms and weaponry.
15,1464,-0.022798699," words and phrases related to involvement, connection, and association."
15,1360,-0.026415369, words related to technology and devices.
15,1062,0.262289297, adjective-noun combinations related to significant or relevant aspects.
15,1933,0.016226449,"occupation, profession, and related words."
15,1906,0.117552507, contractions and part-words in URLs or usernames.
15,593,0.042550628, adjectives or pronouns with a descriptive sentiment.
15,139,-0.054223094, words or phrases related to events or actions.
15,365,0.031898174,words or partial words related to endings or contractions.
15,1803,-0.030497702,names and nouns related to actions or events.
15,626,0.019031474, words related to personal emotions or sensations.
15,1184,0.390037233, time-related expressions and durations.
15,403,-0.038330318," strings and characters that represent programming code, numbers, and single letters."
15,884,0.054145048, personal names and relative time expressions.
15,29,0.137086178,verbs related to actions or movements.
16,1043,0.011878653," numbers, especially in the context of ratings, in text."
16,400,0.095337548, prepositions and phrases involving personal connections or relationships.
16,1907,0.255129325," words or phrases related to actions and abilities, particularly in defense."
16,435,0.227191778, words and phrases indicating frequency or ability.
16,600,0.212442646, relationships or connections between words or concepts.
16,1895,0.238194605,abbreviations and word parts related to professional fields or measurements.
16,1320,0.027760778," words or phrases related to activities, projects, or events."
16,421,0.054388156, a mix of punctuations and words related to the activity or process.
16,1916,-0.002810746,"names of organizations, networks, and events."
16,1294,0.056500976," numbers, especially those related to units and measurements."
16,1170,0.147832025, words and phrases related to the process of explaining or understanding something.
16,585,-0.033489872, prepositions and related connecting words.
16,1231,0.030193042, numbers and mathematical symbols.
16,315,0.333445474, actions involving support and care towards others.
16,1090,0.145673864, phrases related to locations and positions.
16,727,-0.061114946, words that signify change or progression in a situation or sequence of events.
16,557,0.166620001," phrases related to actions, events, or time-sensitive situations."
16,1581,0.178414815, compound words and connected phrases.
16,170,0.033834291, words associated with events or actions involving a sudden or forceful impact.
16,1358,0.170286743, phrases about possibilities and potential outcomes.
17,1776,0.093146546,"conjunctions, prepositions, and punctuation in a context of connecting phrases or ideas."
17,1659,-0.010904769, prepositions and related phrases indicating direction or position.
17,1490,-0.025325184,occupation-related nouns and their context.
17,1321,0.041394359, numbers and words related to quantity or amount.
17,1394,-0.001735688," partial words and locations mostly containing letters 'a', 'b', 'd' and 'n'."
17,1471,0.388181702, phrases related to opportunities and using power or abilities.
17,485,0.050197109, parts of words or phrases related to physical positions or connections.
17,326,0.108768777,partials of names or words that resemble names.
17,331,0.129288264,"words related to death, destruction, and negative outcomes."
17,1357,0.07545159, numerical values and expressions of quantities.
17,1563,-0.024521929, words related to possessions or ownership.
17,961,-0.017352309, words and phrases related to numbers and measurements.
17,1547,0.065575601, words related to specific objects or parts of an object.
17,224,0.071312262,a mix of different characters and uncommon letters or combinations.
17,201,0.045032581," phrases related to closeness, proximity, or being next to something or someone."
17,44,0.759208681," the word ""through"" and occasional related words indicating motion or transition."
17,837,0.03188041, words and phrases related to action or activity.
17,689,0.24734678, words and phrases related to central or focal points.
17,307,-0.004856465, numbers and related time expressions or measurements.
17,1463,0.157222621, transitional phrases indicating changes or new information.
18,338,-0.030749678, phrases indicating uncertainty or doubt.
18,1856,0.148164295, phrases related to a specific time or a historical context.
18,1894,0.119435161,phrases related to dividing or separating things into two distinct parts.
18,840,-0.072652857, numbers and words related to specific dates or events.
18,1011,0.174938497, phrases describing locations and positions within a space.
18,414,0.28709394," proper nouns, single letters, and numbers."
18,1965,0.130217785, combinations of two or more connected words or abbreviations.
18,38,-0.012217795,uppercase or capitalized letter combinations and small numbers.
18,1584,0.223564444, words and phrases indicating a sequence of events or specific timeframes.
18,853,0.063755369," combination of letters and numbers within words or phrases, often related to abbreviations or specific technical terms."
18,1270,0.003212053, phrases related to key moments or points in a situation or event.
18,1684,0.23478369, numbers and words related to counting or enumerating items.
18,444,0.216274008, words related to likes and preferences.
18,958,-0.049423098, comparative terms and related numerical values.
18,1946,0.019760259,phrases related to thinking and considering.
18,793,0.231288886, spatial relationships and the concept of distance or gaps.
18,1794,0.010373306, words and phrases related to events or gatherings.
18,1970,-0.025636464,locations or objects within a specific context or environment.
18,1141,0.301547853,"words and phrases related to determination, action, and taking steps towards a goal."
18,317,0.475505346, possessive structures and associated titles or entities.
19,802,0.508962228,"occurrences of the word ""define"" or its variants, in different contexts."
19,1603,0.130614228," words and punctuation marks indicating opposition, negation or disagreement."
19,1048,0.051010862, comparative phrases or words indicating differences.
19,140,0.018220699,"keywords related to health, food, and living conditions."
19,1887,0.053711839," words and phrases related to locations, positions, or preferences."
19,335,-0.039692191," action-related words, especially in the context of people or events happening."
19,92,0.227781009,"abbreviation, acronyms, and names."
19,1442,0.277961517," phrases related to asking questions, making requests, or offering options."
19,68,-0.045090456," partial words and symbols, especially punctuation marks and abbreviated parts of words."
19,518,0.026722085," words and phrases related to materials, structures, and forms."
19,1213,0.050574412," specific details, amounts, and conditions within various contexts."
19,698,0.310364294, question-related words and phrases.
19,1813,0.048528705, numbers or quantitative expressions with associated contextual information.
19,143,0.633693839," words and phrases related to opposition, conflict, and contrasting situations."
19,563,0.130495945," partial words or characters, focusing on specific endings or symbols."
19,1713,0.202836127, words and phrases related to sources of information.
19,1692,0.010996509, prepositions and numbers in context.
19,972,0.003049263," phrases related to development, progress, or changes."
19,664,0.198118627," specific points in time or moments, often involving numbers."
19,1951,0.271406118, temporal expressions or references to time.
20,491,0.073096199,"prepositions followed by words related to usage, legal, or intellectual property."
20,418,0.181233755, phrases related to personal experiences and realizations.
20,801,0.061183001, noun phrases with numerical values.
20,809,0.076125059," sequences of words related to a change, transformation, or transition."
20,487,0.289849856, numerical values and letters that are surrounded by non-alphanumeric characters.
20,1927,0.034061564,verbs and phrases related to motion and position.
20,837,0.088601586,"phrases indicating transitions or changes, particularly in time or circumstances."
20,1287,0.01856714,"words related to events, gatherings, and places of collaboration."
20,867,0.045049772," phrases indicating locations, progression or movement."
20,243,-0.004096627,"prepositions of relationships between items, numbers or concepts."
20,116,0.185895538, strings of numbers and/or string combinations of numbers and letters.
20,305,0.015914529, phrases related to quantities or measurements.
20,379,0.116809362, numbers and related ordinal indicators.
20,770,-0.010834786, numeric values or numbers within the text context.
20,1963,-0.055270646," words and phrases related to technical specifications, instructions, and options."
20,1401,0.088582033, comparative phrases related to frequency or intensity.
20,1039,0.339165386,proper nouns and notable people or organizations.
20,1219,0.334087209,phrases related to future possibilities or predictions.
20,1352,0.014858684, prepositions followed by adjectives or nouns.
20,1498,0.214382027," scientific and statistical language, including measurements and comparisons."
21,1090,0.099131789," relationships, specifically those involving locations, time, and connections between people or objects."
21,894,0.010944289," words related to connecting or linking concepts, items, or actions."
21,493,0.059804199,actions or situations involving effort or struggle.
21,1132,-0.002675196, combinations of numbers and short words or abbreviations.
21,309,-0.00421923, words and expressions related to intensity or extremity.
21,1958,0.124416142,sequences involving actions and their related objects or consequences.
21,1414,0.587950565," numerical codes and values involving sections, chapters, or parts."
21,1261,0.196835641, prepositions and their related nouns or noun phrases.
21,775,0.181321716, names and numbers related to geographical locations or administrative divisions.
21,1107,0.68514626, words and phrases related to gender and demographics.
21,897,-0.018559918, groups of nouns and their descriptive adjectives or quantities.
21,1645,0.058815669, words related to negative situations or issues.
21,946,0.064992269, technology-specific terms and names.
21,1160,0.07596001," apostrophes, short contractions, and spatial/time expressions."
21,119,0.017487868," words and phrases related to options, preferences, and decision-making."
21,862,-0.007362399," combinations of capital letters, numbers, and special characters in short phrases."
21,593,0.126828854, verbs related to taking action or making decisions.
21,1103,0.107583626, parts of words or two-letter combinations within words.
21,1620,-0.046703976, parts of words or phrases related to proper nouns or names.
21,714,0.263520598," pronouns and their corresponding verbs, focusing on identity and actions."
22,465,0.337224264, phrases expressing personal opinions or knowledge.
22,443,0.260402865, sequences of numbers and numerals.
22,1934,0.093637042, parts of names and prefixes or suffixes in names.
22,1558,0.175033314,words or phrases indicating a causal relationship or consequence.
22,1003,0.003754963, numerical values and values in a ranking or lists.
22,169,0.104381516,"equal signs, numbers, and punctuation in proximity to each other."
22,751,0.033261437, words and phrases related to contrasting or opposing concepts.
22,1662,-0.014635296, gender-related words and phrases or words indicating involvement.
22,481,0.007706479," words or phrases related to evaluations, ratings, or judgments."
22,886,0.11996652, suffixes and special characters in the text.
22,1454,0.349810583, prefixes or parts of words related to small measurements or units.
22,1796,0.22229704, numbers and related symbols in a sequence.
22,1753,0.036892339, prepositions and their related phrases.
22,1374,0.2301369," words and phrases related to significant achievements, qualifications, and recognitions."
22,1262,-0.01216259, phrases related to actions or processes.
22,183,0.003285161, words or phrases associated with change or transition.
22,1420,0.112521974, expressions of empathetic support and care.
22,1901,0.045481306, words related to medical conditions and health risks.
22,133,0.106201027, verbs followed by auxiliary verbs and accompanying objects.
22,1167,0.049099516, prepositions and related phrases indicating location or position.
23,1109,-0.046420359, words related to degrees of quantity or magnitude.
23,1730,0.125264147,"letters, numbers, and symbols in the middle of words or phrases."
23,325,0.059414895, relative positions or comparative statements.
23,1944,-0.059382849, single digit numbers and punctuations connected to single-word items.
23,1355,0.115765834, combinations of words that indicate a sequence or series of actions or events.
23,345,0.016825414, prepositions related to location and position.
23,419,0.106093582,"digits, dates, and numeric quantities."
23,264,0.014427234," words related to conditions, choices, or options."
23,392,0.1580194, adjectives and descriptive words in various contexts.
23,1703,0.092115281, prepositions and phrases indicating direction or position.
23,598,0.144312903, parts of phrases involving the process or result of losing something or someone.
23,1590,0.058954153, words related to creation or development processes.
23,1292,0.15352786, phrases for personal experiences and actions relative to time.
23,772,0.195251165," expressions of agreement, appreciation, or liking."
23,58,0.121347922, phrases and words related to technical processes or abilities.
23,1387,0.13370899," words and phrases indicating reasons, causes, and consequences."
23,1247,-0.021993452, words and phrases related to measurements and units.
23,25,-0.044373605, technical or specialized terms within a given context.
23,227,0.094432029, numbers and units of measurement.
23,1496,0.127956485, numerical values and words containing numbers or numerical concepts.
24,1996,0.150718292, words and phrases related to systems or processes.
24,695,0.02365145, prepositions followed by a word or phrase with a numeric or specific value.
24,1833,0.045880555, specific numbers or consecutive numerals.
24,1693,-0.033984359, words related to actions or decisions.
24,698,0.00760064, phrases related to negative outcomes or situations.
24,950,-0.02776266, words and phrases related to events and occurrences.
24,520,0.222880796, words with the letters 'ou' or 'old'.
24,979,-0.056988004, phrases related to movement and direction.
24,1403,0.035634626, words and phrases related to excitement and intensity.
24,914,0.025974084,numbers and related counting terms.
24,1335,0.235692347, words related to power and influence.
24,1442,0.117635536,"specific terms related to institutions and elements, often with capitalization."
24,1038,0.127550561," words related to conjunctions and prepositions connecting sentences, phrases, or words."
24,764,0.711041102," instances of work, worked, or working in various contexts."
24,138,-0.027797471, specific detail and examples within the text.
24,1037,0.188956467, expressions of uncertainty or doubt.
24,1257,0.512513347, words related to increases or upward movements.
24,1351,0.130641582, phrases showing cause and effect relationships.
24,1603,-0.054177141, words and phrases related to numerical values and time.
24,1186,0.193451776," web URLs, various settings, and related prefixes."
25,292,0.252848007,"comparative words, and values or rankings associated with them."
25,1048,0.038111261,age-related phrases and numbers.
25,1519,0.541605043," instances of words that include ""that"" and grammatical contractions with 's."
25,111,0.027321566, words or phrases related to numbers or numerical values.
