layer,neuron,score,explanation
4,983,0.878502168," words related to cutting, chopping, and slicing."
4,1104,0.872698047,instances of the word 'miss' and its variations.
4,1247,0.872396837, expressions of negative or unfortunate circumstances.
4,1160,0.871392376,"occurrences of the word ""existence."""
4,1460,0.871247467,words related to knitting and crocheting.
4,442,0.870432237,words related to actions that are repeated or recurring.
4,732,0.867721163,words and phrases related to wrapping or coiling objects.
4,910,0.864096284, different forms of the word 'vert'.
4,954,0.857861434,instances of the letter sequence 'iff'.
4,589,0.857655043, the word 'within' in different contexts.
5,1159,0.929153911, words related to entering or access points.
5,1038,0.917749479,reflexive pronouns referring to oneself.
5,337,0.914505871,words related to military veterans.
5,618,0.911901826," the word ""thus"" and its variations."
5,752,0.907342663,words related to focus and concentration.
5,619,0.899806501,"words related to surveying, polling, and measuring opinions."
5,286,0.879836353, words related to seeking advice and coordination.
5,1758,0.879314881," occurrences of the word ""spell"" and its variations."
5,686,0.876919474,"instances of the word ""apprentice"" and variations or related words."
5,385,0.867541685,"occurrences of the word ""luck"" and related phrases."
5,168,0.863226191," image attributions, specifically those related to Getty Images."
5,944,0.859438959," instances of IM as an acronym, possibly referring to 'Instant Messenger'."
5,1161,0.858172349,mentions of corners or edges.
5,1179,0.846034289,"variations of the word ""bridge""."
5,1807,0.843639479," words related to weight or pressure, with a focus on the term ""load."""
5,1276,0.839045191,"occurrences of the word ""news"" and its variations."
5,386,0.838522148,"food items, particularly tacos and bowls."
5,421,0.836342772, words related to the concept of success or failure.
5,572,0.835562649, words and phrases related to destruction or damage.
5,762,0.82961293,mentions of personal computers (PC).
6,1382,0.937502485,"occurrences of the word ""script""."
6,759,0.918666287," words related to growth and development, focusing especially on ""boom."""
6,483,0.899427958," words related to removal, expulsion, or displacement."
6,1318,0.888876895," the possessive contraction "" 's ""."
6,224,0.880951369,reflexive pronouns related to self.
6,339,0.879408864,"words or phrases related to the word ""head"" or its variations."
6,923,0.873695914, words related to transparency or clarity.
6,1240,0.87253475, variations of the verb 'appear'.
6,301,0.868727551," the word ""It"" at the beginning of a sentence."
6,528,0.866313061," the word ""embedded"" and related terms."
6,950,0.863039487," instances of the word ""absolutely"" and adjectives associated with arts or modernity."
6,1660,0.863020321," instances of rolls, both in the context of game mechanics and general usage."
6,1641,0.862498509,words and phrases related to water and drowning.
6,346,0.861201276,"words referencing geographic directions, especially ""Western."""
6,1855,0.858146013,"the word ""wild"" and its variations."
6,1507,0.856575564, words and phrases related to preferences or choices.
6,1586,0.852284752," measurements related to volume, specifically the word 'cup'."
6,658,0.843239446, the word 'host' and words that relate to hosting.
6,1991,0.842901596," last names, particularly ""Davis."""
6,1489,0.83336948,words related to holding or gripping actions.
7,415,0.912764037,words related to being impressed or surprised.
7,47,0.905213736,verbs related to suspension or hanging.
7,828,0.899163011," words related to the central parts of an area, structure, or organization."
7,1406,0.892023634,"the word ""explicit"" and its variations in phrases."
7,1464,0.866756808,words related to discrimination and bias.
7,1113,0.864782611, words related to seriousness and importance.
7,1571,0.853001946,"words related to tools or weapons, specifically sharp-edged ones."
7,361,0.848167415,variations of the word 'order'.
7,563,0.835622168,transition words and phrases that introduce additional or clarifying information.
7,5,0.828660695,"variations of the word ""including""."
7,535,0.817789887, words related to pairs or couple-related terms.
7,478,0.815400288,"words related to being the best, top or the first appearance."
7,1552,0.814315061, words related to following or coming after something.
7,858,0.809533598," words and phrases related to financial life changes, particularly retirement and bankruptcy."
7,1163,0.806321465, words or phrases related to moving ahead or progressing in time.
7,660,0.79620454, words related to cutting or editing actions.
7,1318,0.794079995,words related to types of housing and residential areas.
7,538,0.793050021,words related to fire and heat.
7,20,0.792976598,words or parts of words related to the letters 'ark' and 'anger'.
7,1476,0.788794901,words related to newness or a renewed state.
8,123,0.939552061,United States state abbreviations.
8,389,0.883061367,medical professionals and treatments.
8,1193,0.879137752," instances of the word ""together""."
8,1078,0.874464841, words related to peace and resolution in conflict situations.
8,1656,0.86233967, words related to being underwater or below the surface.
8,136,0.858054782,words related to interior spaces and their characteristics.
8,1164,0.849909125, the word 'bid' and related context.
8,545,0.8481642, occurrences of the number '2'.
8,1593,0.840011884, words and phrases related to broad or wide scope or variety.
8,1605,0.817102353,words related to transportation or container objects.
8,982,0.815960137, words related to scheduling and canceling events.
8,1293,0.812214809,words related to actions requiring permission or consent.
8,448,0.809855064, words or phrases related to completing an action.
8,1232,0.795429824," phrases related to instances, occurrences, or situations described as ""the case."""
8,1285,0.79527423,words related to delay or postponement.
8,609,0.794306724,"the word ""neither"" and its varying capitalizations."
8,1732,0.791726002, acronyms and abbreviations related to sports organizations and competitions.
8,1959,0.783643463, words and phrases related to importance and power.
8,323,0.783062949," words and phrases related to unity, support, and cooperation."
8,1196,0.782387999, the word 'dial' and its variations.
9,147,0.931230471," the word ""most"" and words related to comparison."
9,914,0.87093021, words related to the action of seeing or observing.
9,43,0.837615914,"words and phrases related to evidence, proof, and background contexts."
9,1738,0.830096335, words related to taking something away or stealing.
9,1546,0.826123289," words and phrases related to being alive, existing, or thriving."
9,1762,0.797367383," single letters or partial words with a focus on 'y', 'z', 'k', and 'ter'."
9,1236,0.788875569, words related to women and female titles.
9,117,0.788455481,"instances of the word ""idea"" and related phrases emphasizing its positive or negative context."
9,135,0.784096089, editing commands and low-intensity actions.
9,856,0.773939052,"partial words ending in ""ave"" or ""ove""."
9,1515,0.762640484, words related to representation and involvement.
9,1821,0.75946685,terms related to paths and a planet (Mars) in different contexts.
9,1399,0.747367394,"the word ""importantly"" and its degree of emphasis in a sentence."
9,1125,0.747356202,"the word ""according"" and occasionally related statistics or numbers."
9,1532,0.746987775,words containing 'ick' or 'ock' sounds.
9,1966,0.736078181, words related to sensory experiences and anticipations.
9,1439,0.731177611, the word 'however' and related punctuation.
9,1864,0.726363217,"citation-related words and instances of the word ""name."""
9,512,0.720096956,"words and phrases related to work, labor, and processes."
9,169,0.719495992,relative cardinal directions and distances.
10,226,0.912285869,"words and phrases related to continuation, particularly in the context of 'reading.'"
10,1308,0.911665236," instances of the word ""much"" in various contexts."
10,1441,0.880983405,words related to knights or references to knight characters.
10,567,0.877287182,words related to effectiveness or efficiency.
10,758,0.845596922, words and phrases related to language and translation.
10,223,0.822296706,"instances of the word ""verified"" and its variations."
10,1473,0.811957817, instances of the word 'guess'.
10,140,0.798648995,adverbs that indicate a contrast or unexpected connection.
10,346,0.78389614," contractions with ""n't""."
10,1670,0.77931008,words related to losing control or abnormal mental states.
10,1649,0.753592803, expressions of certainty and agreement.
10,730,0.747131442," instances of the word ""code"" and related phrases containing it."
10,597,0.738541945, words and phrases related to opposition or contradiction.
10,1467,0.735113192, words and phrases related to prayer and praying.
10,94,0.73276557, words related to outcomes or consequences.
10,542,0.731115343, words and abbreviations related to political and ethnic groups.
10,602,0.723441641, words related to wide-ranging concepts or large-scale phenomena.
10,441,0.717903058,"words and phrases associated with locations, specifically ending in 'ide'."
10,1202,0.716419718, words related to website functions and affiliate programs.
10,958,0.716246373, words related to organization and ordering.
11,899,0.850241558,"instances of the word ""option"" or variations of it, relating to choices or alternatives."
11,914,0.831852761," words related to statues, figures, and physical objects."
11,1230,0.827751065,verbs related to observing or discovering.
11,1249,0.825926489," adjectives describing safety, security, or established standards."
11,1923,0.824850493,words related to flat surfaces or areas.
11,1072,0.813818158," casual agreement expressions, such as ""yeah"" and ""yes""."
11,1347,0.798526429, words related to management and supervision.
11,102,0.768316473,"occurrences of the phrase ""very"" with surrounding words."
11,1787,0.759504962,words and phrases related to putting in effort or work.
11,1270,0.755699485,words related to vertical directions or positions.
11,1727,0.743422597," phrases containing the word ""said"" or ""that""."
11,1302,0.739867945," occurrences of the word ""part"" and related phrases."
11,348,0.722491423,words related to military branches and organizations.
11,1880,0.713001156,verbs related to surpassing or exceeding something.
11,788,0.711437632," acronyms, particularly related to organizations or agencies."
11,1960,0.710816362, words ending in 'ing' and contractions with 'in'.
11,1612,0.707733882,legal terms and references to court proceedings.
11,364,0.704277671,honorifics and formal titles.
11,1000,0.700403934,words related to purity and cleanliness.
11,597,0.699068198, expressions of excitement and enthusiasm.
12,1790,0.83436633, words related to reaching or targeting something.
12,1386,0.814983701," words expressing appreciation, importance, or overlooking."
12,1297,0.794007156," the word ""as"" and its usage in different comparative phrases."
12,1989,0.791711566,honorific titles or salutations.
12,1606,0.787588403,"prefixes or word fragments, and detects instances of the word ""Advertisement""."
12,1124,0.769535542,"partial word fragments, particularly focusing on the letters 'ana' and 'mor'."
12,1419,0.760022648, words related to reaching or achieving a state or condition.
12,945,0.752863384," instances of ellipsis, typically representing a pause or an omission."
12,171,0.747484358, occurrences of the letter 's' appearing alone or as a plural suffix.
12,1706,0.739320889, ordinal numbers and related phrases indicating order or sequence.
12,1239,0.738279133, phrases indicating uncertainty or things that have yet to be determined or revealed.
12,655,0.70949931," fractions or percentages represented with a slash (/) or the word ""per."""
12,731,0.709046078,references to written materials or sources of information.
12,1604,0.704748603," words with a specific morphology or formation, particularly those ending in 'y'."
12,1359,0.696668012, past tense verbs ending in 'ed'.
12,585,0.686272727,words related to professions and occupations.
12,1394,0.680321798, words related to extra or additional quantities.
12,1490,0.663827117, words related to marking or saving information for later use.
12,1760,0.662928286,words related to injuries or physical harm.
12,708,0.660004977,instances of people not wanting to be identified or maintaining anonymity.
13,1667,0.907472034," the word ""an"" in various contexts."
13,1259,0.878779652, the word 'either' in the text.
13,1623,0.781129723," occurrences of the word ""more"" and related phrases."
13,360,0.773847293," words and phrases related to movement, traffic, or flow."
13,384,0.741155906, phrases related to something being left or remaining.
13,1032,0.739406865, phrases indicating time remaining.
13,1800,0.737182995,verbs and phrases related to imitation and copying.
13,766,0.720795318, instances where something or someone is the first of its kind or in a sequence.
13,1190,0.719291891,words and phrases related to dreaming or thinking.
13,1485,0.71695153, expressions of surprise or astonishment.
13,418,0.70136781, occurrences of the word 'are' in various forms and contexts.
13,499,0.70029141," conditional phrases, mainly focusing on the word ""if""."
13,538,0.695370832,words related to waste and disposal.
13,1525,0.689745773,words and phrases related to determination and hard work.
13,343,0.679551159," words and phrases related to the beginning, start, or initiation of something."
13,1930,0.679304491," significant events, situations, or moments."
13,1569,0.677047203, words related to 'off' and 'up' positions or actions.
13,1153,0.675931035,phrases involving the word 'hands'.
13,1022,0.672644628," symbols, particularly the forward slash (/)."
13,346,0.670660045," words expressing an unexpected or surprising situation, often with the word ""enough"" attached."
14,918,0.896380875,words related to expectations and intended purposes.
14,416,0.890008457,words related to feedback or comments.
14,751,0.864001155, repeating characters or words.
14,712,0.825931514, instances of third person masculine pronouns.
14,55,0.799281052, female titles and words related to involvement or participation.
14,1614,0.784299931, phrases or terms related to contrast and opposition.
14,1368,0.781870234," instances of the word ""you"" and its possessive form ""your""."
14,1107,0.778404276, words related to extreme values or measurements.
14,1337,0.775886568, ellipses (series of dots) and words related to media or content.
14,405,0.767331873,instances of the word 'House'.
14,1847,0.767038295, closing parentheses and numerical values surrounded by parentheses.
14,1261,0.736580326,words and phrases related to vision and visual equipment.
14,735,0.72551749," words or phrases that represent last, ending, or prior things."
14,142,0.724041091,"mentions of proximity, specifically the word ""near""."
14,1277,0.721243278, words and phrases related to depth and going downward.
14,1871,0.713502942, words related to elements and transformation.
14,1134,0.695548766, occurrences of the word 'right' and phrases expressing the right amount or condition.
14,1605,0.69409978,"activities and actions related to reading, research, and learning."
14,105,0.689883603,phrases with 'as well as' and other coordinating connectors.
14,1350,0.676023633," dates, numbers related to dates, and day names."
15,1244,0.896834605," the word ""all"" and related phrases expressing inclusivity or wholeness."
15,1706,0.882655334,words or phrases related to themes or themed items.
15,555,0.775333844," words and phrases related to awards, titles, and achievements."
15,1595,0.774467829," the ""@"" symbol and surrounding email or web address components."
15,1107,0.769473366," phrases related to asking, requests, or demands."
15,1355,0.768480721, phrases related to asking questions.
15,1738,0.751769552, words and phrases related to release or freedom.
15,1690,0.731611488,"the word 'even' and its surrounding context, often indicating comparisons or emphasis."
15,962,0.726590843,"occurrences of the word ""more"" and related phrases."
15,137,0.725274927, phrases related to entering or exiting a location.
15,1276,0.69454696,"keywords and phrases related to regulations, warnings, and potential hazards."
15,1882,0.680025926," relative pronouns, such as 'who' and 'whose', and words that indicate relationships or connections."
15,538,0.672350858, possessive pronouns and their associated objects.
15,549,0.66899251," instances of the word ""up"" and phrases related to things being elevated or raised."
15,88,0.668562214, phrases related to deception or creating illusions.
15,527,0.656540078," various signs and symbols, such as ""+"" and ""'"", possibly indicating mathematical or abbreviated elements."
15,107,0.655039765, repetitive words or phrases in various contexts.
15,1497,0.649223933, parts of media outlet names or popular website names.
15,1121,0.649001794,words and phrases related to emotional stress and reactions.
15,385,0.64584544," words related to outcomes, findings, and results."
16,1154,0.901682921,terms associated with preference or favoritism.
16,1874,0.823209345, words and phrases related to completion or finishing actions.
16,353,0.786373033, phrases related to changing or exchanging.
16,285,0.743184961,words and phrases related to people going missing or moving away.
16,1822,0.707379292, words and phrases related to supervision and management.
16,1160,0.706459989,passive voice verb constructions related to being in action.
16,1005,0.705567, phrases related to effectiveness or ineffectiveness.
16,590,0.703762159, phrases related to physical closeness and hands-on experiences.
16,1455,0.696510704," phrases related to being ""outside"" or ""out of"" something."
16,1865,0.689294694, phrases related to time periods and durations.
16,1680,0.671270033, words and phrases related to reducing intensity or controlling behavior.
16,1182,0.664618003," numerical values and occasional single letters, mostly focusing on numbers within a specific range."
16,1652,0.656613976, words related to luck or probability.
16,1150,0.653401074," terms and phrases related to legal procedures, investigations, and processes."
16,198,0.648361907, verbs related to listing and adding items.
16,45,0.647969479, the last parts of words that indicate plurals or certain verb conjugations.
16,1348,0.642472425,references related to Brexit.
16,351,0.639007463,sexual and explicit content in text.
16,1325,0.637546191, words related to incorrectness or incompatibility.
16,1691,0.636515312," words related to carrying or handling, especially in terms of weapons or objects."
17,318,0.854994409,words and phrases related to sounds and audio.
17,30,0.839804023,truth and reality-related words and phrases.
17,289,0.837943692, instances where a fee or a cost is being applied or charged.
17,335,0.833953488, body parts and words related to body modifications.
17,1845,0.804744574,words related to size and magnitude.
17,1598,0.778827417,"instances of the word ""hand"" and situations involving hands."
17,1213,0.776488821, the word 'back' and related variants or phrases.
17,44,0.759208681," the word ""through"" and occasional related words indicating motion or transition."
17,919,0.750391311,verbs related to searching or discovering.
17,1066,0.747303188,adverbs and modifiers indicating closeness or proximity.
17,463,0.744608825," words that include the substring ""fix""."
17,1923,0.739820409,words related to anticipation or expectation.
17,1902,0.739219721,instances of the word 'well' along with nearby related words or phrases.
17,478,0.737626045,words related to cleanliness and tidiness.
17,130,0.710185678,vertical bars and other punctuation marks related to lists or categories.
17,595,0.704817068, instances of the number '3' and its ordinal form '3rd'.
17,1546,0.699709056," words related to insects, specifically flies."
17,168,0.689876785,words related to spatial directions and positions.
17,1451,0.689353594," country codes, particularly for the United States and the United Kingdom."
17,216,0.686005404,words related to classifications and variety.
18,1290,0.79571313," the preposition ""of"" in various contexts."
18,1152,0.79538041,words expressing certainty or obviousness.
18,122,0.794476332, words and phrases related to rooms and architectural features.
18,1660,0.773613005, words related to the term 'palm' and other tree-related terminology.
18,790,0.771766435," the word ""from"" and its related contexts."
18,1309,0.763589285," comparative words, particularly related to difficulty or intensity."
18,991,0.762696642, words related to fractions and percentages.
18,1709,0.74604414, instances of 'as is' and similar expressions.
18,1850,0.745802427, words related to relationships and partnerships.
18,1870,0.721475238," instances of ""plus and minus"" numeric modifications, such as counters or bonuses."
18,280,0.715733924,"words related to teaching, learning and imparting knowledge."
18,521,0.704818255,words related to top and bottom positions or parts of objects.
18,1879,0.699851734, references to Scotland and Scottish people.
18,497,0.692609665," words or components of words related to summaries, brief information, or descriptions."
18,963,0.685425683," words and phrases related to access, particularly online or early access."
18,924,0.676047499, mentions of well-known companies or publication names.
18,193,0.675349392," variations of the word ""cover"" and related words where 'cover' is a part of them."
18,1764,0.660575777, words and phrases related to waiting and delays.
18,944,0.660449938, parts of newspaper names and their abbreviations.
18,1582,0.658285211, animal and insect-related terms.
19,1133,0.825628809,"words related to writing, reading, and texts."
19,1261,0.801721272,"the word ""on"" and its variations, possibly connected to prepositional phrases."
19,83,0.794203334," words related to offering, providing, or giving something."
19,64,0.765158998, words and phrases related to variation and diversity.
19,780,0.762278157, instances of marital relationships and related terms.
19,553,0.757713416,percentage symbols and related words.
19,765,0.729626343, adjectives describing an optimal or best-case situation.
19,797,0.713219155," the word ""something"" and related context."
19,1979,0.709559166, words and phrases related to transportation and motion.
19,938,0.708023387, words related to cultural aspects and their associated elements.
19,1077,0.702821849,adverbs that end with 'ly'.
19,1884,0.699695363,words and phrases related to requirements and conditions.
19,1094,0.695054513, words and phrases related to LGBTQ+ topics and rights.
19,1216,0.695050931," instances of the word ""loading"" followed by a series of periods."
19,239,0.689817868,"occurrences of ""US"" and related abbreviations."
19,884,0.687954176, words and phrases related to transactions and contracts.
19,1786,0.681899463, words related to donations and funding.
19,648,0.681157585, words related to projects and organizational structures.
19,1730,0.679328543,words related to web development and technology.
19,1494,0.677036333,words related to animals and their care or interaction with humans.
20,1720,0.905103195, the word 'one' and related prepositions or adjectives.
20,477,0.899358159," occurrences of the word ""must"" and related words indicating necessity."
20,611,0.898509824, words relating to open or closed states.
20,1231,0.835924328, words related to persistence or continuance over time.
20,1499,0.82201578, words and phrases related to work and labor.
20,1678,0.795030178,"the phrase ""in turn"" and related word combinations."
20,421,0.776687109, sentences with the word 'even' and surrounding uncertainty or doubt expressions.
20,1017,0.773318076,adjectives with the suffix 'free'.
20,285,0.721870881, verbs related to increasing or raising something.
20,371,0.717312767,phrases related to protection and defense.
20,558,0.713460099, words and phrases related to the inside and outside of objects or concepts.
20,613,0.711240953, words related to referring or pointing out information.
20,196,0.710502508, phrases with strong emphasis or capitalization.
20,1274,0.706796293, words and phrases related to water bodies and presence of water.
20,277,0.69028463, words related to requirements or dependencies.
20,559,0.685253494," words related to stopping, preventing, or opposing something."
20,979,0.683642546, words related to sharing information or experiences.
20,831,0.672712677," words and phrases related to problem-solving, understanding, and explaining mysteries or complex concepts."
20,1717,0.67071697," words related to barriers, blockage, or obstacles."
20,916,0.667198708, words and phrases related to standing and position.
21,1238,0.830747861,phrases involving the word 'only'.
21,1719,0.825043104,emotional expressions and phrases related to passion or heart.
21,2,0.817551012,the word 'an' in various contexts.
21,1009,0.795432615," gerunds, or verbs ending in 'ing'."
21,773,0.794246573, advertisement-related keywords and contextual phrases.
21,1649,0.772023017,terms related to marijuana and cannabis products.
21,628,0.765924934," words and phrases related to antiques, vintage items, and anachronisms."
21,1401,0.761317105," the word ""with"" and sometimes related prepositions or contractions."
21,1805,0.754750425,words and phrases related to the United Kingdom or British entities.
21,629,0.74425161, words and phrases related to proximity and closeness.
21,642,0.734478274," words or phrases involving motion or direction, especially with the word ""head"" included."
21,1289,0.732021881," words related to reading, books, and publications."
21,1332,0.731922051, words and phrases related to additional or extra items.
21,1903,0.719731716,hyphen (-) and em dash (—) punctuations within the text.
21,1801,0.70494736, words and phrases related to reading and learning.
21,1400,0.703639649,"locations, especially related to Europe."
21,1373,0.697153227,words and phrases related to comparison or competition.
21,1107,0.68514626, words and phrases related to gender and demographics.
21,1287,0.683810073,phrases related to having something already or a sense of existing possession.
21,1180,0.681596326,phrases and words related to men.
22,1629,0.890841194, verb phrases involving the word 'set'.
22,706,0.836676067, technology-related terms and platforms.
22,1969,0.826691104, words related to conflict or struggle.
22,1276,0.806937189,mentions of Donald Trump and related words.
22,282,0.80417737, words related to body parts.
22,1735,0.797238791,mentions of the city 'Houston' and related proper nouns.
22,1937,0.792148071,color-related words in text.
22,1465,0.790163385, words related to wrapping or enclosing something.
22,1505,0.785602843, phrases related to holding and applying pressure.
22,271,0.77513175, phrases related to facing or acknowledging something.
22,1450,0.76814264, instances of the word 'would' and related contractions.
22,1945,0.758886685," punctuation marks, specifically semicolons."
22,1997,0.74911104," occurrences of the letter 'B' or 'b', often followed by a number or letter."
22,838,0.738722917, words related to cutting and slicing.
22,174,0.728018817, words and phrases associated with writing and authors.
22,1881,0.726285406," gerund verb forms (""-ing"" words)."
22,1767,0.723162954," occurrences of the word ""that""."
22,199,0.71111048, words related to monitoring and observing.
22,1928,0.709016285," days of the week, along with additional information that relates to these days."
22,1077,0.707803738,the word 'with' and words directly connected to it.
23,1427,0.866265211,the word 'natural' and related phrases.
23,1265,0.821270282,actions related to climbing or ascending.
23,495,0.803428597,"the word ""under"" and related phrases with ""under"" in them."
23,859,0.799068992," instances of the verb ""been"" and related forms."
23,266,0.768418057,"words related to types of beverages, particularly beer."
23,1578,0.757698606,"words and phrases related to body size and health, particularly focused on terms associated with being overweight."
23,77,0.750912594, masculine pronouns.
23,1757,0.748816578,references to Israel and related entities.
23,459,0.74780614,the word 'sick' and its related contexts.
23,812,0.736527488,words and phrases related to exclusivity or making exceptions.
23,1824,0.731311074,"words related to bars, beverages, and mixing."
23,863,0.725890186,"words and phrases related to searching, chasing, or pursuing something."
23,921,0.722558782,words related to various forms of energy and fuels.
23,4,0.688958977,words related to shopping and commercial activities.
23,1678,0.682433934,words or phrases related to arrivals or beginnings.
23,359,0.682384086,words and phrases related to upward movement or increase.
23,1556,0.679038966," the word ""we"" and its connected pronouns or phrases indicating unity or inclusivity."
23,1015,0.673525893, references to vehicle manufacturers and related terms.
23,1929,0.672638996,words related to awards and achievements.
23,140,0.656993573, words and phrases related to discovery and finding.
24,1456,0.871893433, days of the week.
24,1287,0.811600165, words related to connections or associations.
24,23,0.793027039," instances of communication or contact, particularly with phone calls."
24,1941,0.781445783,"occurrences of the word ""up"" and some related forms."
24,223,0.763655569,phrases related to falling or downward motion.
24,55,0.735321032," words related to ""leaving"" or departure."
24,1618,0.734996292," words related to pieces or segments, with a focus on 'file' and similar forms."
24,130,0.715223531, phrases containing 'there' followed by a verb or an auxiliary verb.
24,971,0.713305062," occurrences of the word ""can"" and its contractions."
24,400,0.712754883," instances of the word ""when""."
24,764,0.711041102," instances of work, worked, or working in various contexts."
24,1947,0.704511663, words and phrases related to growth and development.
24,86,0.701401253,terms related to aviation and flying.
24,1521,0.698725423," words and phrases related to emotional reactions, particularly crying."
24,510,0.694564328,instances of the word 'hard' and words related to effort or intensity.
24,1197,0.69135127,"words or phrases with negation, focusing on the prefix ""non""."
24,1226,0.682699553, words and phrases related to communication and discussing.
24,311,0.673961879," words and phrases related to condition and degree, including 'naturally,' 'Well,' and 'generally.'"
24,623,0.672513029,short and flat-related words or objects.
24,1053,0.672375219, phrases and words related to the act of handling or managing a situation or challenges.
25,1055,0.836613082,words related to connections or associations.
25,1818,0.815480633," directional words, often related to movement or progression."
25,1076,0.77193641,coordinating conjunctions 'as' and 'well' indicating degree or relations.
25,1502,0.767359627, words and phrases related to goals or intentions.
25,1040,0.760895904, numbers and numerical values.
25,73,0.73807788, parts of Chinese names and words related to China.
25,198,0.736480397," words and phrases related to French names, places, and organizations."
25,1422,0.73634572, words related to central and surrounding parts or objects.
25,1689,0.727082502," technology-related words, specifically those associated with phones and mobile devices."
