layer,neuron,score,explanation
5,286,0.879836353, words related to seeking advice and coordination.
5,807,0.448386121," informative terms, labels, and citations."
5,940,0.366522007,words and phrases related to philosophical concepts and introspection.
5,1826,0.745782876,words related to integration or adaptation processes.
5,314,0.770017524,words related to lobbying and lobbies.
5,560,0.429148726," visible features, identities, and items that help distinguish a subject or object."
5,899,0.770461175,references to lightweight materials or objects.
5,743,0.647118563, words related to classification and hierarchy.
5,762,0.82961293,mentions of personal computers (PC).
5,871,0.522684626, words related to increase or additional items or features.
5,321,0.385681502, last names or proper nouns.
6,936,0.495011294,"words related to ethics, morality, and judgment."
6,61,0.449590667,"action verbs related to accused activities, trials, or rescue incidents."
6,861,0.773056558, words related to dogs and children.
6,1077,0.604652294,words related to powerful characters or forces.
6,325,0.521062378, words related to modern technology and advancements.
6,1181,0.426121254," food-related terms, cultural references, and family relationships."
6,147,0.647275778,"the word ""however"" and words related to inclusion."
6,628,0.510444955, words and phrases related to being surprised or intrigued.
6,1465,0.596358566, words and phrases related to governmental organizations and legal entities.
6,540,0.427916988, words related to various types of programs and series.
6,166,0.474579369, words related to news organizations and their services.
6,1986,0.439055124,names and locations related to people or places.
6,962,0.35045694, specific subject-focused keywords or topics.
6,1335,0.516373143, names of countries and regions.
6,1383,0.393030007, parts of words with the 'ov' or 'ti' letter sequence.
6,1327,0.644299795, words related to promotion and demotion.
6,1841,0.5373836,words related to creation or change.
6,1831,0.555965235,words related to potential dangers or hazards.
6,1275,0.417788412, words related to cutting or making alterations.
6,1357,0.39208803," words related to cooking, ingredients, and food textures."
7,1832,0.479202643," words and phrases related to injuries, particularly focused on knees."
7,568,0.351371793,"words and phrases related to transactions, offers, and deals."
7,858,0.809533598," words and phrases related to financial life changes, particularly retirement and bankruptcy."
7,452,0.621959224,words related to speaking or communication.
7,140,0.408017958," occurrences of commas, especially those separating items in a list or series."
7,953,0.615960397, words related to subscription and communication updates.
7,1406,0.892023634,"the word ""explicit"" and its variations in phrases."
7,627,0.412412362," parts of individual names, particularly surnames or abbreviations."
7,1971,0.406941967, words related to ownership and proper nouns.
7,1871,0.420014412,scientific and natural phenomena.
7,1878,0.459636452,"portions of words with the letter pair ""me"" or ""ame""."
7,1860,0.763372118," words and phrases related to protests, marches, and extremist groups."
7,859,0.441215528," parts of words containing ""er"" or ""er"" sound."
7,1358,0.433143748,"words associated with various types of drinks, both alcoholic and non-alcoholic."
7,367,0.38164714, occurrences of transitional words or phrases indicating a sequence of events.
7,969,0.596969009,horizontally elongated symbols and words related to the beginning or introduction of a topic.
7,1024,0.413607007,apologetic phrases and time-sensitive information.
7,1164,0.773494697,words conveying proximity or nearness in distance.
7,329,0.69058796," words related to variety, creativity, and diverse experiences."
7,1713,0.372722504,sensual and intimate actions or expressions.
8,874,0.371714493, words related to grouping or categorization.
8,622,0.565719505,"words containing the sequence ""ass""."
8,1478,0.437963447, adjectives describing intensity or severity.
8,557,0.606002012," words related to specific styles, structures, or patterns."
8,1687,0.367096128,"words related to visual elements, such as images or capturing visuals."
8,1856,0.703063132,verbs related to catching or acquiring something.
8,1818,0.439487785, words or phrases related to bodily functions or fluids.
8,1765,0.421183406,section breaks and indications of a continued story in a document.
8,747,0.472992184,legal terminology and court-related words.
8,116,0.759886082,verbs related to selection or usage of items.
8,1182,0.486994103, various numeric values related to age and statistics in sports.
8,1732,0.791726002, acronyms and abbreviations related to sports organizations and competitions.
8,1409,0.55406774,repeated 'a' sounds and variations of 'ah'.
8,1670,0.383235957,"sequences of letters containing ""ac""."
8,1741,0.448256661, words related to storing or saving items or information.
8,694,0.444183914,word fragments related to professional or scientific disciplines.
8,482,0.449726704,"words and phrases related to containment, control, and restrictions."
8,1216,0.68152604, words related to brief or partial views or demonstrations of something.
8,976,0.4200858, parts of web URLs and social media mentions.
8,1851,0.503800761,words related to problem-solving and improvements.
9,908,0.354455552,instances of the letters 'og' within words.
9,303,0.622094116,words related to espionage and surveillance.
9,1484,0.433407629, specific keywords related to a variety of distinct topics.
9,1644,0.353801073, words related to orders and shipments.
9,756,0.408258117, phrases related to relatively small or temporary durations.
9,372,0.511195544, words and phrases related to connections and relationships.
9,1889,0.56251039, words and phrases related to time and scheduling.
9,447,0.43197858,parenthesis and related punctuation symbols.
9,1158,0.660766629,"titles and abbreviations for names, such as ""Ms"" and ""Mr""."
9,1229,0.548881741, words and phrases indicating a group or a range.
9,1076,0.500920388, geographic locations or regional-specific terms.
9,10,0.361285301,"list items, transitions, and punctuation that indicate connections or enumeration."
9,831,0.391013388, verbs related to discussion or thought processes.
9,1494,0.444853429, words related to lists or sequences.
9,1848,0.505519428,words related to forming connections and relationships.
9,357,0.433004367," parts of names or words that include the 'ica', 'less', or 'ia' syllables."
9,53,0.454132427," two-letter combinations, specifically 'LC' and 'ch', in words."
9,1105,0.49637814, words related to things that are hidden or unusual.
9,1588,0.356048023,occupations and roles of people.
9,6,0.447333888, specific terms related to model names and parts of vehicles.
10,872,0.492900269, words related to companions or friends.
10,865,0.361303344,"words related to settings or contexts, particularly environments and positions."
10,529,0.692204145, words and phrases related to music and pop culture.
10,1308,0.911665236," instances of the word ""much"" in various contexts."
10,1183,0.361833195, programming code snippets and symbols.
10,722,0.385717554,"numbers and words related to scoring, points, and advantages in sports games."
10,435,0.378506295, words related to being online or active on the internet.
10,673,0.456134732, words related to technology and devices.
10,1838,0.676885575, phrases describing positions or situations involving oneself.
10,305,0.369485905," words related to expectations, assumption, or prediction."
10,1280,0.656655459, words related to environmental and ecological topics.
10,1240,0.396095399, phrases related to regular occurrences and intervals.
10,662,0.472980064," instances of copying or reproduction of documents, objects or information."
10,1028,0.571414927, dates and numerical information.
10,251,0.50858094, verbs related to expressing opinions or making statements.
10,1472,0.37207284, coordinating conjunctions and commas in close proximity.
10,1677,0.38595097, words ending in 'ist' and variations of the word 'me'.
10,1093,0.415479588, words and phrases related to protests and demonstrations.
10,819,0.660040274,"names of gathering places, cooking methods, and related words."
10,1523,0.492158819," phrases with ""only"" followed by ""to"" and their following words, indicating a change or result."
11,1361,0.395952403,words related to physical orientation or position.
11,703,0.53247438, words related to body parts and parts of words.
11,748,0.522531424,words and phrases related to information or promotional content.
11,1447,0.40362383, words relating to sizes and relative dimensions.
11,1770,0.39423267,religious terms and names associated with Christianity and Islam.
11,1365,0.423768379," the word ""that"" and other transition words or connectors."
11,1177,0.450097274, instances of photo attributions or image-related captions.
11,1347,0.798526429, words related to management and supervision.
11,1241,0.352187614, terms related to limits and restrictions.
11,1692,0.443794475," phrases that compare or show emphasis, particularly using 'just' and 'more than'."
11,1742,0.618082932," the word ""considering"" and words associated with weighing in on a decision or situation."
11,1998,0.376368154,phrases related to coming up with ideas or solutions.
11,358,0.362490099, words and phrases related to demonstrations and trials.
11,180,0.499241683,word parts related to 'les' or 'es' endings.
11,141,0.509165046, words expressing certainty or confidence.
11,214,0.427049103, words related to honesty and transparency.
11,1021,0.463924928," words related to military, force, and weaponry."
11,664,0.49816192, words written in uppercase.
11,15,0.43501927,questions and phrases related to counting or quantity.
11,1149,0.408256765, parts of compound words and hyphenated phrases.
12,797,0.452276608," words related to relationships, including family, love, and assistance."
12,131,0.397307034, words and phrases related to negative physical states or actions.
12,992,0.368973207, phrases related to past events or appearances.
12,1721,0.352427423, words related to groups of people or collaborative efforts.
12,1407,0.625551201, words and phrases related to time and speed.
12,1478,0.353594817, words related to preventing or stopping something.
12,795,0.406519842,words and phrases related to expression and communication.
12,1346,0.564914368," instances of the word ""up"" and other prepositions or particles that indicate a change in direction or position."
12,554,0.397134599,adjectives describing strong interests or preferences.
12,1196,0.416365529," specific hobby, sport or game-related words."
12,1841,0.363180503, words and phrases related to giving advice or recommendations.
12,1176,0.363370733," words related to development, creation, and action-taking."
12,945,0.752863384," instances of ellipsis, typically representing a pause or an omission."
12,1765,0.513692019, locations and addresses.
12,804,0.40890118, 'ast' letter combinations often found in various words.
12,1056,0.361287115, words related to groupings and classifications.
12,299,0.49402067," the word ""it"" at the beginning of a sentence."
12,779,0.494681294,semi-colons and legal terms.
12,999,0.355726532,expressions of laughter or amusement.
12,1947,0.420408823, words associated with milestones or significant events.
13,243,0.51553296, words related to ongoing or continuous actions.
13,978,0.390394667, phrases indicating desire or wanting something.
13,556,0.563881524, single and two-digit numbers.
13,284,0.527946756, word suffixes of male nouns.
13,766,0.720795318, instances where something or someone is the first of its kind or in a sequence.
13,112,0.414032729," numbers and special characters, especially in structured note formats or data sequences."
13,831,0.435262084, phrases indicating recent or upcoming events and updates.
13,23,0.524678515, words related to thinking and mental processes.
13,731,0.431249677, combinations of words related to animals or objects within a context.
13,926,0.37941297,phrases related to locations and their surroundings.
13,1274,0.387306434," the preposition ""of"" and words immediately following it."
13,61,0.411952584, scientific terms and expressions related to biological pathways or interactions.
13,584,0.553466975, numerical values in a time format or related to time.
13,1306,0.460791261,directional words and phrases.
13,1088,0.363719354, numbers and related quantitative terms.
13,666,0.365350461, words and phrases related to obtaining and requesting information.
13,734,0.520057482," parts of geographical names, specifically those with a strong regional or state identifier."
13,1678,0.444644709, terms and phrases related to positions and locations in a text or document.
13,1930,0.679304491," significant events, situations, or moments."
13,346,0.670660045," words expressing an unexpected or surprising situation, often with the word ""enough"" attached."
14,1700,0.379400284,words related to ice and other similar word endings with 'ice' or 'ia' sounds.
14,137,0.387834, numbers and related concepts in context.
14,1010,0.653839049," words related to events, particularly drafts and sports camps."
14,1614,0.784299931, phrases or terms related to contrast and opposition.
14,1277,0.721243278, words and phrases related to depth and going downward.
14,1429,0.411522932, numerical values and related words in the context of sports statistics.
14,234,0.391770963, words related to attempts or trying activities.
14,1548,0.394240933, parts of names and related variations.
14,1813,0.43053627, phrases related to acquiring knowledge or understanding.
14,1531,0.436945926," numbers and digits, especially in the context of amounts or values."
14,1931,0.406258629,words related to stopping or pausing actions.
14,297,0.375611577, words that end in 'ing'.
14,1438,0.390603209, phrases related to following and fulfilling expectations or instructions.
14,807,0.506286563," words related to progression, looking ahead, and moving forward."
14,145,0.366683456, positive statements related to ideas or contributions.
14,1561,0.520747012," words and phrases expressing politeness, kindness, or care."
14,1480,0.373977,words related to a gradual or incremental process.
14,851,0.476979665, verb phrases related to seeing or observing.
14,1623,0.512722851, possessive pronouns followed by actions or professions.
14,1402,0.360190641, phrases indicating time durations and future events.
15,409,0.427582772,phrases related to checking or tuning in to something.
15,1591,0.469880528, nouns related to containers and locations.
15,1264,0.417291448, instances of past events or activities.
15,303,0.437792864," instances of the phrase ""year on year"" and units of measurement."
15,1257,0.379567637," partial and complete words, focusing on reading and review actions."
15,1656,0.560533726," instances of the word ""it"" with an emphasis on confirmation or agreement."
15,1870,0.358613786, words and phrases indicating increased activity or attention.
15,1276,0.69454696,"keywords and phrases related to regulations, warnings, and potential hazards."
15,872,0.380032451,block numbers and locations.
15,469,0.353610729, numerical values and units of measurements.
15,1853,0.365588781, words and phrases related to genetics and reproduction.
15,968,0.383896686," temporally related words, such as days of the week and time indications."
15,428,0.487110921," parts of words or short expressions, often focusing on the ending or a particular syllable."
15,1903,0.369729542,"action verbs related to appointing, recruiting, and hiring people."
15,234,0.531007534, second person pronouns related to involvement or interaction.
15,551,0.562807968, phrases related to things being inaccessible or out of reach.
15,1976,0.47487887," words and phrases related to progress, continuation, or revealing information."
15,751,0.357059194,verbs related to contributing or giving.
15,1610,0.431251641, verbs related to ongoing actions or processes.
15,975,0.446066583, words and phrases related to age and family members.
16,1691,0.636515312," words related to carrying or handling, especially in terms of weapons or objects."
16,1428,0.472852152," educational terms, such as degrees, institutions, and career-related experiences."
16,311,0.406936082, body parts or related terms.
16,976,0.537135394, phrases related to starting or beginning something.
16,1813,0.38933648, words and phrases related to organization and tracking.
16,1154,0.901682921,terms associated with preference or favoritism.
16,1553,0.55308163," words and phrases related to expressing honesty, agreement, or favor."
16,1189,0.392625324," time-related expressions such as weeks, minutes, and seconds."
16,113,0.524283544, words and phrases associated with diversity and social issues.
16,865,0.612940524, adverbs and adverbial phrases indicating a high degree or intensity.
16,1210,0.354138243,"specific letters, especially the letter 'o' in the middle of words."
16,1288,0.606288214,occurrences of the word 'here' and related capitalization variations.
16,985,0.459616413, units of time and related words.
16,497,0.399074391," words related to relationships, personal attributes, and individual activities."
16,426,0.382816724,words related to beginnings or first occurrences.
16,1578,0.381870949, comparative phrases related to likelihood or probability.
16,1924,0.38940917," words and phrases related to endings, climactic moments, and resolutions."
16,687,0.355858926,"prepositions, particularly ""of,"" with some attention to adjacent words."
16,1247,0.490570972,"words and phrases related to military service, war, and heroism."
16,555,0.357515228, words or phrases related to technological communication or devices.
17,1295,0.457693079,"directional and transitional phrases, with a focus on ""down"" and ""beginning."""
17,1809,0.609651211,words and phrases related to privacy and personal matters.
17,1368,0.398116272," numbers and characters related to measurements, ratings, and combinations."
17,1042,0.423263693, words and phrases related to dependency or reliance.
17,1837,0.567411987,"words and phrases related to relationships, with a focus on alternative relationships such as same-sex or bisexual relationships."
17,623,0.524542279, expressions indicating possession or belonging.
17,447,0.616575907," prepositions, particularly 'of', and it's usually connected with institutions, organizations, or groups."
17,1930,0.445553832,numbers and their associated context.
17,1014,0.374402588," occurrences of the word ""of"" and their variations within context."
17,189,0.53882772, individual syllables or parts of words that are related to various forms of giving or donating.
17,951,0.355764347,verbs related to showing or providing examples and information.
17,634,0.486312992, adverbs related to temporary situations.
17,1826,0.611617884, words and phrases related to family relationships and close connections.
17,235,0.398953703,phrases indicating events leading up to something.
17,1095,0.422394481," colons and the words closely associated with them, sometimes related to numerical values."
17,76,0.389088209,"words or word parts containing the letters ""op""."
17,1972,0.453228914, words or names with 'ri' syllables.
17,970,0.456627677, words and phrases related to personal identification and attributes.
17,678,0.486835036, repetitive sounds or syllables in words.
17,1622,0.566536027, adverbs and adverbial phrases expressing frequency or time.
18,1298,0.388498409," adjectives or adverbs followed by a comma or describing a relationship between multiple topics, objects or actions."
18,482,0.376289913,"words and phrases related to rules, regulations, and legal issues."
18,292,0.418598897,words related to complexity or complicated situations.
18,1719,0.362206107, last names or parts of last names.
18,365,0.370465855,"near-synonyms for effort or trying, as well as nearness adverbs."
18,957,0.419911593," relationships between words, focusing on connecting words or phrases and colons."
18,66,0.447769377, phrases related to moving forward or progressing.
18,318,0.384446039," words and phrases related to caution, patience, and taking things slowly."
18,1636,0.355399636," phrases related to benefits, interests, and motivations."
18,1655,0.452571043, plural nouns and related phrases.
18,1233,0.484963139, repeating patterns and emphasis in text.
18,1587,0.407900391," words or parts of words related to growth, expansion, and development."
18,689,0.456794741,words and phrases related to filing and processing complaints.
18,924,0.676047499, mentions of well-known companies or publication names.
18,1659,0.44323183, phrases related to signing up or joining something.
18,1817,0.458602252, words and phrases related to necessity and requirements.
18,1290,0.79571313," the preposition ""of"" in various contexts."
18,1040,0.475101872,parts of words containing 'ill' or 'le'.
18,1474,0.363631804, phrases indicating agreement or alliance.
18,1814,0.558936877,religious or spiritual vocabulary and related terms.
19,440,0.457160484,words and phrases related to water and marine environments.
19,163,0.399776811, animal or bird-related body parts or names.
19,1571,0.425623051, repetitive or emphasized words and phrases.
19,1216,0.695050931," instances of the word ""loading"" followed by a series of periods."
19,1952,0.452631812, phrases involving connections or relationships.
19,959,0.499395181,timestamps and related indicators.
19,1116,0.357476057, direct speech or dialogue and actions within the text.
19,143,0.633693839," words and phrases related to opposition, conflict, and contrasting situations."
19,1711,0.586377975, words related to completion or reaching an end.
19,1490,0.492152418," the word ""with"" and certain words beginning with specific letters."
19,635,0.537051589,"comparative phrases using ""think"" and ""like""."
19,1177,0.632469111,instances of missing objects or people.
19,145,0.552148612, words and phrases related to security and protection.
19,1740,0.478992291, phrases indicating expansion or growth in scope or range.
19,1222,0.428539034," technology-related terms, especially those related to digital communication platforms."
19,947,0.453154162,phrases related to competition and comparison.
19,691,0.500588667,"words indicating various levels of size, length or intensity."
19,1625,0.356551889, geographic locations or references to countries.
19,783,0.554378114,position titles and related terms.
19,1352,0.39063513,strong emotional words or expressions.
20,1269,0.59453559, phrases related to variations in state-level laws and regulations.
20,100,0.615051323, parts of surnames or names that follow particular patterns
20,1081,0.382168515, single-digit numbers and their closely related context.
20,194,0.604061504, single letters followed by the letter 'g'.
20,1017,0.773318076,adjectives with the suffix 'free'.
20,1860,0.394137056, words related to beginnings or introductions.
20,1565,0.395663204," last names or parts of names, including character names."
20,1840,0.504820137, phrases and words related to charity and fundraising.
20,673,0.381587429," words related to claims, denials, and assertions."
20,1655,0.519388284,instances of the word 'back' and compound words containing 'back'.
20,836,0.386554901," words or phrases related to parts, sequences, or divisions."
20,1499,0.82201578, words and phrases related to work and labor.
20,1208,0.36284582," punctuation, specially hyphens, and transition between letters and numbers."
20,1451,0.481181591, words and phrases related to fractions and divisions.
20,846,0.51522671, phrases with 'but' followed by other words to indicate a contrast or alternative.
20,613,0.711240953, words related to referring or pointing out information.
20,513,0.626200779," instances of the verb ""find"" or its variations used in context."
20,887,0.432476158," numerical values, particularly in the context of quantities, measurements, and sizes."
20,1807,0.563406046," words related to software tools, monitoring, and documentation."
20,483,0.5490536," instances of the word 'which' and the following word, often focusing on the context of a subject's action or state."
21,411,0.648294032,"instances of the phrase ""so-called"" or variations of it along with surrounding quotes or names."
21,692,0.638817973," words related to denial, rejection, and refutation."
21,1224,0.562202382,"phrases or words related to being well-maintained, positive in quality or thought."
21,1790,0.393590773," directional words, particularly related to upward movement."
21,852,0.678920227, words and phrases indicating uncertainty.
21,132,0.370181278, words and phrases indicating the end or last part of something.
21,1212,0.388974926, words and phrases related to music and musical elements.
21,1336,0.511186191, words and phrases related to growth or increase.
21,639,0.503579817, single-digit numbers and objects in the text.
21,445,0.363030711, action verbs and task-related words focused on moving and progressing through a story or journey.
21,1816,0.625316906, words and phrases related to variety or types.
21,1542,0.673052766,words and phrases related to heat and temperature.
21,976,0.497342288, words and phrases related to processes and actions.
21,661,0.371551389, instances of the word 'to' and its variants used in context to indicate movement or connections.
21,107,0.380634053," abbreviations, particularly uppercase letter combinations."
21,15,0.397422594," various forms of the verb ""apply."""
21,726,0.422197563, proper names and family relationship terms.
21,1078,0.655388197,words related to conflict and gathering events.
21,241,0.404061982, words and phrases related to expressing opinions or asking for feedback.
21,1606,0.665135491, phrases related to small things.
22,1629,0.890841194, verb phrases involving the word 'set'.
22,1731,0.485216223,communication content related to receiving emails or postal mail.
22,1027,0.361588633,word parts related to safety and security.
22,1680,0.363173529,verbs and phrases related to movement or motion.
22,1068,0.381887039, phrases related to overcoming obstacles and moving to a new position or state.
22,838,0.738722917, words related to cutting and slicing.
22,1660,0.398633308, interjections or expressions of agreement.
22,680,0.357010353, phrases expressing agreement or confirmation.
22,901,0.408272017," possessive phrases followed by nouns, with a focus on political or legal contexts."
22,964,0.674183871, occurrences of the word 'have'.
22,1409,0.489397096,phrases related to being forced or compelled to do something.
22,1147,0.369903659, descriptions of people's clothing and physical appearance.
22,944,0.411121782, units of measurement or related symbols.
22,199,0.71111048, words related to monitoring and observing.
22,36,0.419130079, conditional phrases or phrases involving a scenario with consequences.
22,1710,0.422667048, actions or events related to posting or sharing on online platforms.
22,1665,0.423293625, words related to inclusion and adding elements.
22,88,0.557420293,words and phrases with a prefix or root meaning 'against'.
22,1023,0.372179033,words related to records or numerical quantities.
22,1164,0.41287225, time-related expressions.
23,970,0.451206047, words and phrases related to negative consequences or impacts.
23,921,0.722558782,words related to various forms of energy and fuels.
23,652,0.358239884,copyright information and some partial words.
23,739,0.410544407,"relationships and family-oriented words, especially pertaining to partners and children."
23,996,0.409740299, phrases related to commendable or brave actions.
23,468,0.57990703,"verbs and phrases related to creation, design, and engagement."
23,1457,0.437923529," numbers, specifically related to age or similar counting measures."
23,1010,0.376796412," sequences of numbers, especially with commas, decimal points, or periods."
23,125,0.411429826," acronyms, abbreviations, and capital letter sequences."
23,588,0.408774237, references to specific time periods or generations.
23,1415,0.475136877," words with strong emphasis or high intensity, indicated by exclamation marks or specific letters."
23,1983,0.423218609," numeric values related to sports, games, and careers."
23,482,0.384133231," phrases with emphasis on specific words or concepts, often involving capitalization."
23,1622,0.394134606," instances of guessing, wagering, or making a bet."
23,590,0.362388109, words and phrases related to relationships or pronouns.
23,1824,0.731311074,"words related to bars, beverages, and mixing."
23,1145,0.482695524," verbs and phrases related to revealing, containing, or expressing something."
23,945,0.351343249," phrases and words related to equality, fairness, and gender issues."
23,4,0.688958977,words related to shopping and commercial activities.
23,1727,0.431516719, verbs related to carrying or containing something.
24,1115,0.489146357, question-like phrases and moments of emphasis or surprise.
24,1799,0.423097614," words describing something as unjust or illegal, including adverbs ending in 'ly'."
24,63,0.525287198," proper nouns, particularly names of people and places."
24,1865,0.411413572," geographic locations, specifically U.S. states and European countries."
24,1703,0.384434186,"situations or circumstances in which something or someone is misplaced, lost, mistaken or missing."
24,290,0.397578694," numbers, especially in the context of ratings, sequences, and measurements."
24,1157,0.351517487, punctuation marks followed by words and words indicating conversation or dialogue.
24,475,0.40695589, expressions of gratitude and appreciation.
24,1870,0.458849686, words and phrases related to commands and decisions.
24,1196,0.565550323, words related to sharing and connection.
24,803,0.407666378,"words related to information, knowledge, or specialized aspects in various fields."
24,853,0.514175022, words and phrases related to comparison and similarities.
24,1965,0.527484739, phrases related to verification or ensuring something is accomplished or detected.
24,623,0.672513029,short and flat-related words or objects.
24,955,0.656680116,words related to replacement or substitution.
24,98,0.467675748, occurrences of the letter 'J' and related combinations in various words.
24,1197,0.69135127,"words or phrases with negation, focusing on the prefix ""non""."
24,809,0.514811565," prepositions, particularly focusing on the word ""for."""
24,357,0.366748137,words related to conflict and opposition.
24,451,0.597718464," phrases related to costs, expenses, and charges."
25,643,0.367766363,actions or processes in scientific and technical contexts.
25,630,0.461317221," word patterns related to providing, availability, and having something."
